"Female","Month","Repro","BCI","NewMeanGroup","Rain"
"452","Mary","Mar","MPY","3",11.625,30.45
"453","Enid","Apr","MPY","3",6.125,66.2
"454","Jacquei","Apr","MPY","3",8.125,66.2
"455","Mary","Apr","MPY","3",5.75,66.2
"456","Amanda","May","MPY","3",6,59.8
"457","Amber","May","MPY","3",7.88,59.8
"458","Jacquei","May","MPY","3",7.3,59.8
"459","Nikki","May","MPY","3",6.38,59.8
"460","Sally","May","MPY","3",6.7,59.8
"461","Amanda","Jun","MPY","2",4.18,47.1
"462","Amber","Jun","MPY","3",6.11,47.1
"463","Candice","Jun","MPY","2",4.5,47.1
"464","Odette","Jun","MPY","3",6.63,47.1
"465","Stripes","Jul","MPY","3",5.9,47.1
"466","Blondie","Oct","NPY","3",4.27,59.55
"467","Lydia","Nov","NPY","2",5.75,92.45
"468","Cotton","Dec","NPY","3",4.54,78.5
"469","Brigit","Feb","NPY","2",5,52.6
"470","Blondie","Sep","NPY","2",8.23,50.8
"471","Jo","Sep","NPY","2",5.2,50.8
"472","Nikki","Sep","NPY","2",8.38,50.8
"473","Poppy","Sep","NPY","2",5.17,50.8
"474","Poppy","Oct","NPY","1",3.5,59.55
"475","Darcy","Dec","NPY","1",10.89,78.5
"476","Lydia","Dec","NPY","3",12.36,78.5
"477","Amber","Sep","NPY","1",9,6
"478","Hope","Jul","NPY","2",3.86,40.2
"479","Amber","Aug","NPY","2",8.35,11
"480","Lumpy","Feb","NPY","2",5.73,52.6
"481","Mollie","Aug","NPY","2",7.4,12.75
"482","Hannah","Sep","NPY","2",4.56,50.8
"483","Amber","Oct","NPY","2",5.7,59.55
"484","Jill","Oct","NPY","2",5.73,59.55
"485","Amber","Nov","NPY","2",7.64,92.45
"486","Amber","Dec","NPY","2",6.54,78.5
"487","Deberah","Dec","NPY","1",5.27,78.5
"488","Justine","Dec","NPY","1",4.22,78.5
"489","Poppy","Dec","NPY","2",4.44,78.5
"490","Poppy","Aug","NPY","1",3.13,54.5
"491","Kiwi","Sep","NPY","2",15.4,2.8
"492","Indi","Oct","NPY","2",10.42,27.8
"493","Kiwi","Oct","NPY","2",4.38,27.8
"494","Jill","Jul","NPY","1",3.25,80.4
"495","Amber","Nov","NPY","1",4.22,59.8
"496","Amber","Sep","NPY","1",6.5,49.8
"497","Amy","Jul","NPY","1",4.29,19
"498","Bonnie","Sep","NPY","1",4.22,50.8
"499","Jill","Sep","NPY","1",5.38,50.8
"500","Nina","Sep","NPY","3",7.61,50.8
"501","Blondie","Nov","NPY","3",6.82,92.45
"502","Deberah","Nov","NPY","1",10,92.45
"503","Hope","Nov","NPY","3",6.75,92.45
"504","Camilla","Dec","NPY","1",5.5,78.5
"505","Odette","Dec","NPY","3",10.18,78.5
"506","Qantas","Dec","NPY","3",9.27,78.5
"507","Lumpy","Jul","NPY","1",7.78,42.2
"508","Coffee","Sep","NPY","2",11.38,2.8
"509","Maple","Sep","NPY","1",3.64,2.8
"510","Stumpy","Sep","NPY","2",11.54,2.8
"511","Brie","Oct","NPY","2",9.7,27.8
"512","Goggles","Nov","NPY","1",9,37.1
"513","Jacquei","Jan","NPY","2",5.2,101.45
"514","Hazel","Jan","NPY","2",4.64,13.8
"515","Amanda","May","NPY","2",8.11,68.4
"516","Cashew","May","NPY","2",8.88,68.4
"517","Cashew","Jul","NPY","3",6.29,40.2
"518","Coral","Sep","NPY","2",9.27,49.8
"519","Lydia","Sep","NPY","2",6.75,49.8
"520","Amber","Sep","NPY","1",5.61,50.8
"521","Mollie","Sep","NPY","2",7,50.8
"522","Bonnie","Oct","NPY","1",3.4,59.55
"523","Candice","Oct","NPY","1",4.45,59.55
"524","Hope","Oct","NPY","3",6,59.55
"525","Nina","Oct","NPY","2",5.38,59.55
"526","Anne","Nov","NPY","3",7.79,92.45
"527","Bonnie","Nov","NPY","2",11.88,92.45
"528","Qantas","Nov","NPY","2",8,92.45
"529","Jo","Dec","NPY","3",11.25,78.5
"530","Deberah","Jul","NPY","1",9.38,42.2
"531","Lumpy","Aug","NPY","1",10.64,54.5
"532","Taz","Oct","NPY","3",3.82,27.8
"533","Jill","Nov","NPY","2",3.9,37.1
"534","Lauren","Nov","NPY","2",6,37.1
"535","Longnose","Nov","NPY","1",8,37.1
"536","Goggles","Jan","NPY","2",5.33,101.45
"537","Abigail","Jul","NPY","2",3.45,80.4
"538","Helen","Jul","NPY","3",3.63,80.4
"539","Stripes","Aug","NPY","2",5.5,32.4
"540","Nina","Nov","NPY","1",3.13,59.8
"541","Bene","Jan","NPY","2",5.4,13.8
"542","Blondie","Jan","NPY","1",5.45,13.8
"543","Cotton","Jan","NPY","2",6.56,13.8
"544","June","May","NPY","3",9,68.4
"545","Sunbeam","Jul","NPY","2",5.43,40.2
"546","Qantas","Aug","NPY","2",8.5,11
"547","Star","Aug","NPY","2",2.75,11
"548","Tegan","Aug","NPY","2",6,11
"549","Abigail","Sep","NPY","2",11,49.8
